"concept","broader","enLabel","deLabel"
"http://data.europa.eu/8mn/euroscivoc/1771166d-eb6d-47fc-8d0b-ecfd001efbbc","http://data.europa.eu/8mn/euroscivoc/4fc54e32-5c0e-4f9f-aec1-18bb20609eba","organic geochemistry","organische Geochemie"
"http://data.europa.eu/8mn/euroscivoc/17849784-ab0a-4622-9678-19c11f64c0d2","http://data.europa.eu/8mn/euroscivoc/20e77e46-571d-42a4-b3f1-8eb284bc4034","history of philosophy","Geschichte der Philosophie"
"http://data.europa.eu/8mn/euroscivoc/179b5ccd-b066-4a3d-a60f-5d8dae645788","http://data.europa.eu/8mn/euroscivoc/4c8f4b46-6f5c-41d9-9079-7de85c16431d","heuristic programming","heuristische Programmierung"
"http://data.europa.eu/8mn/euroscivoc/179fda69-4962-433b-8b92-9261768e79ed","http://data.europa.eu/8mn/euroscivoc/ddec251f-0c47-44a4-b95d-9d4bf11a093e","fermions","Fermion"
"http://data.europa.eu/8mn/euroscivoc/17b7bbad-4972-4fe7-aa3c-cbd21809f0bb","http://data.europa.eu/8mn/euroscivoc/5d08280c-4bca-41ff-9034-81d4210a7b6b","electric energy","elektrische Energie"
"http://data.europa.eu/8mn/euroscivoc/17e1c13a-0c3d-45ed-ac46-30fa3e7e2bf5","http://data.europa.eu/8mn/euroscivoc/8053ae82-f945-405e-948b-6c4f09348722","recycling","Recycling"
"http://data.europa.eu/8mn/euroscivoc/1844c39c-060b-4eae-b6b3-a9b7a266f61b","http://data.europa.eu/8mn/euroscivoc/8a64da82-b46e-4940-b896-bfc79ad3f6f8","paleoclimatology","Paläoklimatologie"
"http://data.europa.eu/8mn/euroscivoc/186e9994-7c1c-44c1-a1e9-ff90e8593184","http://data.europa.eu/8mn/euroscivoc/432746d6-998b-431f-b22f-d3abe0e8aada","robotic surgery","Roboterchirurgie"
"http://data.europa.eu/8mn/euroscivoc/188c4e44-9851-4a16-a960-85423574f287","http://data.europa.eu/8mn/euroscivoc/4d3e0b8f-ce04-475e-933f-a82f26f1086f","desalination","Entsalzung"
"http://data.europa.eu/8mn/euroscivoc/189bf165-64c4-423e-bab1-eac6a2db721d","http://data.europa.eu/8mn/euroscivoc/5c66325e-b247-4e52-92ec-544ae4d061cc","behavioural psychology","Verhaltenspsychologie"
"http://data.europa.eu/8mn/euroscivoc/190c7945-b95c-42bb-b9de-961ac1c69cf0","http://data.europa.eu/8mn/euroscivoc/0cd8fe36-dfc3-43cd-882a-5dade629fe25","computer processors","Computerprozessor"
"http://data.europa.eu/8mn/euroscivoc/192cfa59-26ab-465e-9338-2b957e3d79ba","http://data.europa.eu/8mn/euroscivoc/de62b610-a9d3-430b-92ff-366f28f7b1c7","history","Geschichtswissenschaft"
"http://data.europa.eu/8mn/euroscivoc/195984de-c722-4aa8-b43f-0a3365cecae6","http://data.europa.eu/8mn/euroscivoc/531bd18a-eedd-4345-8b2f-5464f96615f8","water treatment processes","Wasseraufbereitungsverfahren"
"http://data.europa.eu/8mn/euroscivoc/1961db3b-4f6b-43b7-b1b3-aaffffaf1c6f","http://data.europa.eu/8mn/euroscivoc/192cfa59-26ab-465e-9338-2b957e3d79ba","modern history","Geschichte der Neuzeit"
"http://data.europa.eu/8mn/euroscivoc/1a43fd07-63bc-4b62-aee4-71b3a9f91ccc","http://data.europa.eu/8mn/euroscivoc/91dbf78e-ec96-4fc8-9ba3-706d26b85a15","sustainable agriculture","nachhaltige Landwirtschaft"
